Provinsi,Tahun,Kelapa_Sawit_Ton
GORONTALO,2008,
GORONTALO,2009,
GORONTALO,2010,
GORONTALO,2011,
GORONTALO,2012,0
GORONTALO,2013,0
GORONTALO,2014,0
GORONTALO,2015,100
GORONTALO,2016,0
GORONTALO,2017,1500
GORONTALO,2018,9900
GORONTALO,2019,16200
GORONTALO,2020,5000
SULAWESI BARAT,2008,325800
SULAWESI BARAT,2009,260500
SULAWESI BARAT,2010,264400
SULAWESI BARAT,2011,249300
SULAWESI BARAT,2012,253730
SULAWESI BARAT,2013,282740
SULAWESI BARAT,2014,285500
SULAWESI BARAT,2015,294600
SULAWESI BARAT,2016,434100
SULAWESI BARAT,2017,527300
SULAWESI BARAT,2018,386200
SULAWESI BARAT,2019,348400
SULAWESI BARAT,2020,348000
MALUKU,2008,
MALUKU,2009,
MALUKU,2010,
MALUKU,2011,
MALUKU,2012,0
MALUKU,2013,14740
MALUKU,2014,0
MALUKU,2015,0
MALUKU,2016,7300
MALUKU,2017,10400
MALUKU,2018,23600
MALUKU,2019,17600
MALUKU,2020,19100
MALUKU UTARA,2008,
MALUKU UTARA,2009,
MALUKU UTARA,2010,
MALUKU UTARA,2011,
MALUKU UTARA,2012,0
MALUKU UTARA,2013,0
MALUKU UTARA,2014,0
MALUKU UTARA,2015,0
MALUKU UTARA,2016,
MALUKU UTARA,2017,
MALUKU UTARA,2018,386200
MALUKU UTARA,2019,
MALUKU UTARA,2020,
PAPUA BARAT,2008,40000
PAPUA BARAT,2009,57700
PAPUA BARAT,2010,66200
PAPUA BARAT,2011,54100
PAPUA BARAT,2012,53720
PAPUA BARAT,2013,53720
PAPUA BARAT,2014,74000
PAPUA BARAT,2015,74000
PAPUA BARAT,2016,135900
PAPUA BARAT,2017,131200
PAPUA BARAT,2018,98100
PAPUA BARAT,2019,103500
PAPUA BARAT,2020,106400
PAPUA,2008,49500
PAPUA,2009,66700
PAPUA,2010,136400
PAPUA,2011,103100
PAPUA,2012,93480
PAPUA,2013,93480
PAPUA,2014,94000
PAPUA,2015,93500
PAPUA,2016,20600
PAPUA,2017,158900
PAPUA,2018,345100
PAPUA,2019,437700
PAPUA,2020,557600
