Provinsi,Tahun,Bawang_Merah_Ton,
KALIMANTAN SELATAN,2017,2846,
KALIMANTAN SELATAN,2018,1411,
KALIMANTAN SELATAN,2019,1143,
KALIMANTAN SELATAN,2020,462,
KALIMANTAN TIMUR,2000,70,
KALIMANTAN TIMUR,2001,47,
KALIMANTAN TIMUR,2002,114,
KALIMANTAN TIMUR,2003,208,
KALIMANTAN TIMUR,2004,223,
KALIMANTAN TIMUR,2005,64,
KALIMANTAN TIMUR,2006,151,
KALIMANTAN TIMUR,2007,196,
KALIMANTAN TIMUR,2008,158,
KALIMANTAN TIMUR,2009,123,
KALIMANTAN TIMUR,2010,35,
KALIMANTAN TIMUR,2011,15,
KALIMANTAN TIMUR,2012,75,
KALIMANTAN TIMUR,2013,46,
KALIMANTAN TIMUR,2014,388,
KALIMANTAN TIMUR,2015,254,
KALIMANTAN TIMUR,2016,626,
KALIMANTAN TIMUR,2017,564,
KALIMANTAN TIMUR,2018,828,
KALIMANTAN TIMUR,2019,173,
KALIMANTAN TIMUR,2020,267,
KALIMANTAN UTARA,2000,,
KALIMANTAN UTARA,2001,,
KALIMANTAN UTARA,2002,,
KALIMANTAN UTARA,2003,,
KALIMANTAN UTARA,2004,,
KALIMANTAN UTARA,2005,,
KALIMANTAN UTARA,2006,,
KALIMANTAN UTARA,2007,,
KALIMANTAN UTARA,2008,,
KALIMANTAN UTARA,2009,,
KALIMANTAN UTARA,2010,,
KALIMANTAN UTARA,2011,,
KALIMANTAN UTARA,2012,,
KALIMANTAN UTARA,2013,,
KALIMANTAN UTARA,2014,,
KALIMANTAN UTARA,2015,0,
KALIMANTAN UTARA,2016,15,
KALIMANTAN UTARA,2017,74,
KALIMANTAN UTARA,2018,95,
KALIMANTAN UTARA,2019,139,
KALIMANTAN UTARA,2020,90,
SULAWESI UTARA,2000,7566,
SULAWESI UTARA,2001,2843,
SULAWESI UTARA,2002,1506,
SULAWESI UTARA,2003,2243,
SULAWESI UTARA,2004,2332,
SULAWESI UTARA,2005,2587,
SULAWESI UTARA,2006,3333,
SULAWESI UTARA,2007,3684,
SULAWESI UTARA,2008,3860,
SULAWESI UTARA,2009,6917,
SULAWESI UTARA,2010,5963,
SULAWESI UTARA,2011,5005,
SULAWESI UTARA,2012,5301,
SULAWESI UTARA,2013,1354,
SULAWESI UTARA,2014,1242,
SULAWESI UTARA,2015,1716,
SULAWESI UTARA,2016,2556,
SULAWESI UTARA,2017,2880,
SULAWESI UTARA,2018,3740,
SULAWESI UTARA,2019,3139,
SULAWESI UTARA,2020,4937,
SULAWESI TENGAH,2000,5217,
SULAWESI TENGAH,2001,2579,
SULAWESI TENGAH,2002,4912,
SULAWESI TENGAH,2003,4430,
SULAWESI TENGAH,2004,5041,
SULAWESI TENGAH,2005,2285,
SULAWESI TENGAH,2006,8659,
SULAWESI TENGAH,2007,8370,
SULAWESI TENGAH,2008,5774,
SULAWESI TENGAH,2009,6489,
SULAWESI TENGAH,2010,10301,
SULAWESI TENGAH,2011,10824,
SULAWESI TENGAH,2012,7274,
SULAWESI TENGAH,2013,4400,
SULAWESI TENGAH,2014,6924,
SULAWESI TENGAH,2015,8869,
SULAWESI TENGAH,2016,9088,
SULAWESI TENGAH,2017,8651,
SULAWESI TENGAH,2018,8363,
SULAWESI TENGAH,2019,6508,
SULAWESI TENGAH,2020,5725,
SULAWESI SELATAN,2000,60492,
SULAWESI SELATAN,2001,11607,
SULAWESI SELATAN,2002,41053,
SULAWESI SELATAN,2003,18304,
SULAWESI SELATAN,2004,11056,
SULAWESI SELATAN,2005,12081,
SULAWESI SELATAN,2006,12089,
SULAWESI SELATAN,2007,10702,
SULAWESI SELATAN,2008,10518,
SULAWESI SELATAN,2009,13248,
SULAWESI SELATAN,2010,23276,
SULAWESI SELATAN,2011,41710,
SULAWESI SELATAN,2012,41238,
SULAWESI SELATAN,2013,44034,
SULAWESI SELATAN,2014,51728,
SULAWESI SELATAN,2015,69889,
SULAWESI SELATAN,2016,96256,
SULAWESI SELATAN,2017,129181,
SULAWESI SELATAN,2018,92392,
SULAWESI SELATAN,2019,101762,
SULAWESI SELATAN,2020,124381,
SULAWESI TENGGARA,2000,994,
SULAWESI TENGGARA,2001,847,
SULAWESI TENGGARA,2002,972,
SULAWESI TENGGARA,2003,158,
SULAWESI TENGGARA,2004,309,
SULAWESI TENGGARA,2005,418,
SULAWESI TENGGARA,2006,577,
SULAWESI TENGGARA,2007,520,
SULAWESI TENGGARA,2008,568,
SULAWESI TENGGARA,2009,657,
SULAWESI TENGGARA,2010,646,
SULAWESI TENGGARA,2011,121,
SULAWESI TENGGARA,2012,202,
SULAWESI TENGGARA,2013,46,
SULAWESI TENGGARA,2014,369,
SULAWESI TENGGARA,2015,345,
SULAWESI TENGGARA,2016,892,
SULAWESI TENGGARA,2017,372,
SULAWESI TENGGARA,2018,486,
SULAWESI TENGGARA,2019,390,
SULAWESI TENGGARA,2020,655,
GORONTALO,2000,,
GORONTALO,2001,860,
GORONTALO,2002,147,
GORONTALO,2003,332,
GORONTALO,2004,192,
GORONTALO,2005,374,
GORONTALO,2006,334,
GORONTALO,2007,417,
GORONTALO,2008,306,
GORONTALO,2009,406,
GORONTALO,2010,240,
GORONTALO,2011,172,
GORONTALO,2012,202,
GORONTALO,2013,229,
GORONTALO,2014,122,
GORONTALO,2015,240,
GORONTALO,2016,699,
GORONTALO,2017,1282,
GORONTALO,2018,1409,
GORONTALO,2019,629,
GORONTALO,2020,476,
SULAWESI BARAT,2000,,
SULAWESI BARAT,2001,,
SULAWESI BARAT,2002,,
SULAWESI BARAT,2003,,
SULAWESI BARAT,2004,,
SULAWESI BARAT,2005,,
SULAWESI BARAT,2006,1334,
SULAWESI BARAT,2007,2911,
SULAWESI BARAT,2008,240,
SULAWESI BARAT,2009,882,
SULAWESI BARAT,2010,348,
SULAWESI BARAT,2011,280,
SULAWESI BARAT,2012,407,
SULAWESI BARAT,2013,134,
SULAWESI BARAT,2014,543,
SULAWESI BARAT,2015,441,
SULAWESI BARAT,2016,302,
SULAWESI BARAT,2017,279,
SULAWESI BARAT,2018,545,
SULAWESI BARAT,2019,507,
SULAWESI BARAT,2020,631,
MALUKU,2000,328,
MALUKU,2001,3303,
MALUKU,2002,272,
MALUKU,2003,524,
MALUKU,2004,1093,
MALUKU,2005,2079,
MALUKU,2006,1724,
MALUKU,2007,594,
MALUKU,2008,459,
MALUKU,2009,167,
MALUKU,2010,398,
MALUKU,2011,484,
MALUKU,2012,433,
MALUKU,2013,470,
MALUKU,2014,543,
MALUKU,2015,451,
MALUKU,2016,304,
MALUKU,2017,592,
MALUKU,2018,1042,
MALUKU,2019,736,
MALUKU,2020,1106,
MALUKU UTARA,2000,,
MALUKU UTARA,2001,32,
MALUKU UTARA,2002,117,
MALUKU UTARA,2003,630,
MALUKU UTARA,2004,198,
MALUKU UTARA,2005,209,
MALUKU UTARA,2006,219,
MALUKU UTARA,2007,249,
MALUKU UTARA,2008,292,
MALUKU UTARA,2009,237,
MALUKU UTARA,2010,151,
MALUKU UTARA,2011,185,
MALUKU UTARA,2012,191,
MALUKU UTARA,2013,124,
MALUKU UTARA,2014,218,
MALUKU UTARA,2015,392,
MALUKU UTARA,2016,243,
MALUKU UTARA,2017,115,
MALUKU UTARA,2018,261,
MALUKU UTARA,2019,624,
MALUKU UTARA,2020,951,
PAPUA BARAT,2000,,
PAPUA BARAT,2001,,
PAPUA BARAT,2002,,
PAPUA BARAT,2003,,
PAPUA BARAT,2004,,
PAPUA BARAT,2005,421,
PAPUA BARAT,2006,429,
PAPUA BARAT,2007,,
PAPUA BARAT,2008,494,
PAPUA BARAT,2009,327,
PAPUA BARAT,2010,477,
PAPUA BARAT,2011,107,
PAPUA BARAT,2012,191,
PAPUA BARAT,2013,16,
PAPUA BARAT,2014,5,
PAPUA BARAT,2015,1245,
PAPUA BARAT,2016,168,
PAPUA BARAT,2017,12,
PAPUA BARAT,2018,142,
PAPUA BARAT,2019,184,
PAPUA BARAT,2020,136,
PAPUA,2000,1830,
PAPUA,2001,1448,
PAPUA,2002,724,
PAPUA,2003,836,
PAPUA,2004,,
PAPUA,2005,946,
PAPUA,2006,875,
PAPUA,2007,,
PAPUA,2008,932,
PAPUA,2009,787,
PAPUA,2010,499,
PAPUA,2011,680,
PAPUA,2012,943,
PAPUA,2013,620,
PAPUA,2014,718,
PAPUA,2015,642,
PAPUA,2016,826,
PAPUA,2017,487,
PAPUA,2018,720,
PAPUA,2019,578,
PAPUA,2020,209,
