Provinsi,Tahun,Padi_Ton
NUSA TENGGARA TIMUR,2014,825728.00
NUSA TENGGARA TIMUR,2015,948088.00
NUSA TENGGARA TIMUR,2018,899935.88
NUSA TENGGARA TIMUR,2019,811724.18
NUSA TENGGARA TIMUR,2020,725024.30
NUSA TENGGARA TIMUR,2021,730925.42
KALIMANTAN BARAT,2000,903191.00
KALIMANTAN BARAT,2001,941630.00
KALIMANTAN BARAT,2002,985489.00
KALIMANTAN BARAT,2003,1027122.00
KALIMANTAN BARAT,2004,1060652.00
KALIMANTAN BARAT,2005,1023684.00
KALIMANTAN BARAT,2006,1107661.00
KALIMANTAN BARAT,2007,1225259.00
KALIMANTAN BARAT,2008,1321443.00
KALIMANTAN BARAT,2009,1300798.00
KALIMANTAN BARAT,2010,1343888.00
KALIMANTAN BARAT,2011,1372988.00
KALIMANTAN BARAT,2012,1300100.00
KALIMANTAN BARAT,2013,1441876.00
KALIMANTAN BARAT,2014,1372695.00
KALIMANTAN BARAT,2015,1275707.00
KALIMANTAN BARAT,2018,799715.21
KALIMANTAN BARAT,2019,847875.13
KALIMANTAN BARAT,2020,778170.36
KALIMANTAN BARAT,2021,776797.43
KALIMANTAN TENGAH,2000,362630.00
KALIMANTAN TENGAH,2001,360084.00
KALIMANTAN TENGAH,2002,395239.00
KALIMANTAN TENGAH,2003,490080.00
KALIMANTAN TENGAH,2004,590434.00
KALIMANTAN TENGAH,2005,492250.00
KALIMANTAN TENGAH,2006,491712.00
KALIMANTAN TENGAH,2007,562473.00
KALIMANTAN TENGAH,2008,522732.00
KALIMANTAN TENGAH,2009,578761.00
KALIMANTAN TENGAH,2010,650416.00
KALIMANTAN TENGAH,2011,610236.00
KALIMANTAN TENGAH,2012,755507.00
KALIMANTAN TENGAH,2013,812652.00
KALIMANTAN TENGAH,2014,838207.00
KALIMANTAN TENGAH,2015,893202.00
KALIMANTAN TENGAH,2018,514769.05
KALIMANTAN TENGAH,2019,443561.33
KALIMANTAN TENGAH,2020,457952.00
KALIMANTAN TENGAH,2021,400444.04
KALIMANTAN SELATAN,2000,1332364.00
KALIMANTAN SELATAN,2001,1406070.00
KALIMANTAN SELATAN,2002,1346007.00
KALIMANTAN SELATAN,2003,1410141.00
KALIMANTAN SELATAN,2004,1519432.00
KALIMANTAN SELATAN,2005,1598835.00
KALIMANTAN SELATAN,2006,1636840.00
KALIMANTAN SELATAN,2007,1953868.00
KALIMANTAN SELATAN,2008,1954284.00
KALIMANTAN SELATAN,2009,1956993.00
KALIMANTAN SELATAN,2010,1842089.00
KALIMANTAN SELATAN,2011,2038309.00
KALIMANTAN SELATAN,2012,2086221.00
KALIMANTAN SELATAN,2013,2031029.00
KALIMANTAN SELATAN,2014,2094590.00
KALIMANTAN SELATAN,2015,2140276.00
KALIMANTAN SELATAN,2018,1327492.41
KALIMANTAN SELATAN,2019,1342861.82
KALIMANTAN SELATAN,2020,1150306.66
KALIMANTAN SELATAN,2021,1041862.91
KALIMANTAN TIMUR,2000,401955.00
KALIMANTAN TIMUR,2001,366708.00
KALIMANTAN TIMUR,2002,442633.00
KALIMANTAN TIMUR,2003,430286.00
KALIMANTAN TIMUR,2004,486167.00
KALIMANTAN TIMUR,2005,499558.00
KALIMANTAN TIMUR,2006,541171.00
KALIMANTAN TIMUR,2007,567501.00
KALIMANTAN TIMUR,2008,586031.00
KALIMANTAN TIMUR,2009,555560.00
KALIMANTAN TIMUR,2010,588879.00
KALIMANTAN TIMUR,2011,552616.00
KALIMANTAN TIMUR,2012,561959.00
KALIMANTAN TIMUR,2013,439439.00
KALIMANTAN TIMUR,2014,426567.00
KALIMANTAN TIMUR,2015,408782.00
KALIMANTAN TIMUR,2018,262773.88
KALIMANTAN TIMUR,2019,253818.37
KALIMANTAN TIMUR,2020,262434.52
KALIMANTAN TIMUR,2021,240640.80
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,124724.00
KALIMANTAN UTARA,2014,115620.00
KALIMANTAN UTARA,2015,112102.00
KALIMANTAN UTARA,2018,45063.53
KALIMANTAN UTARA,2019,33357.19
KALIMANTAN UTARA,2020,33574.28
KALIMANTAN UTARA,2021,38164.61
SULAWESI UTARA,2000,514477.00
SULAWESI UTARA,2001,310802.00
SULAWESI UTARA,2002,346079.00
SULAWESI UTARA,2003,369930.00
SULAWESI UTARA,2004,407358.00
SULAWESI UTARA,2005,432624.00
SULAWESI UTARA,2006,454902.00
SULAWESI UTARA,2007,49495.00
SULAWESI UTARA,2008,520193.00
SULAWESI UTARA,2009,549087.00
SULAWESI UTARA,2010,584030.00
SULAWESI UTARA,2011,596223.00
SULAWESI UTARA,2012,615062.00
SULAWESI UTARA,2013,638373.00
SULAWESI UTARA,2014,637927.00
SULAWESI UTARA,2015,674169.00
SULAWESI UTARA,2018,326929.74
SULAWESI UTARA,2019,277776.31
SULAWESI UTARA,2020,248879.48
SULAWESI UTARA,2021,228995.95
SULAWESI TENGAH,2000,576933.00
SULAWESI TENGAH,2001,520642.00
SULAWESI TENGAH,2002,746023.00
SULAWESI TENGAH,2003,738607.00
SULAWESI TENGAH,2004,725725.00
SULAWESI TENGAH,2005,716906.00
SULAWESI TENGAH,2006,739777.00
SULAWESI TENGAH,2007,857508.00
SULAWESI TENGAH,2008,985418.00
SULAWESI TENGAH,2009,953396.00
SULAWESI TENGAH,2010,957108.00
SULAWESI TENGAH,2011,1041789.00
SULAWESI TENGAH,2012,1024316.00
SULAWESI TENGAH,2013,1031364.00
SULAWESI TENGAH,2014,1022054.00
SULAWESI TENGAH,2015,1015368.00
SULAWESI TENGAH,2018,926978.66
SULAWESI TENGAH,2019,844904.30
SULAWESI TENGAH,2020,792248.84
SULAWESI TENGAH,2021,866668.66
SULAWESI SELATAN,2000,3658836.00
SULAWESI SELATAN,2001,3728736.00
SULAWESI SELATAN,2002,3893915.00
SULAWESI SELATAN,2003,4003079.00
SULAWESI SELATAN,2004,3552835.00
SULAWESI SELATAN,2005,3390397.00
SULAWESI SELATAN,2006,3365509.00
SULAWESI SELATAN,2007,3635139.00
SULAWESI SELATAN,2008,4083356.00
SULAWESI SELATAN,2009,4324178.00
SULAWESI SELATAN,2010,4382443.00
SULAWESI SELATAN,2011,4511705.00
SULAWESI SELATAN,2012,5003011.00
SULAWESI SELATAN,2013,5035830.00
SULAWESI SELATAN,2014,5426097.00
SULAWESI SELATAN,2015,5471806.00
SULAWESI SELATAN,2018,5952616.45
SULAWESI SELATAN,2019,5054166.96
SULAWESI SELATAN,2020,4708464.97
SULAWESI SELATAN,2021,5152871.43
SULAWESI TENGGARA,2000,314955.00
SULAWESI TENGGARA,2001,263477.00
SULAWESI TENGGARA,2002,298813.00
SULAWESI TENGGARA,2003,334307.00
SULAWESI TENGGARA,2004,322362.00
SULAWESI TENGGARA,2005,339847.00
SULAWESI TENGGARA,2006,349429.00
SULAWESI TENGGARA,2007,423316.00
SULAWESI TENGGARA,2008,405256.00
SULAWESI TENGGARA,2009,407367.00
SULAWESI TENGGARA,2010,454644.00
SULAWESI TENGGARA,2011,491567.00
SULAWESI TENGGARA,2012,516291.00
SULAWESI TENGGARA,2013,561361.00
SULAWESI TENGGARA,2014,657617.00
