Provinsi,Tahun,Daging_Ayam_Buras_Ton
SULAWESI BARAT,2018,4932.12
SULAWESI BARAT,2019,5380.05
SULAWESI BARAT,2020,5870.85
MALUKU,2000,2804
MALUKU,2001,868
MALUKU,2002,868
MALUKU,2003,1240
MALUKU,2004,1610
MALUKU,2005,2029
MALUKU,2006,1973
MALUKU,2007,291
MALUKU,2008,341
MALUKU,2009,614
MALUKU,2010,421
MALUKU,2011,469
MALUKU,2012,519
MALUKU,2013,415
MALUKU,2014,251
MALUKU,2015,299.99
MALUKU,2016,265.99
MALUKU,2017,254.54
MALUKU,2018,288.19
MALUKU,2019,281.19
MALUKU,2020,267.11
MALUKU UTARA,2000,
MALUKU UTARA,2001,59
MALUKU UTARA,2002,150
MALUKU UTARA,2003,1693
MALUKU UTARA,2004,1693
MALUKU UTARA,2005,870
MALUKU UTARA,2006,774
MALUKU UTARA,2007,1010
MALUKU UTARA,2008,1863.45
MALUKU UTARA,2009,2050
MALUKU UTARA,2010,2255
MALUKU UTARA,2011,818
MALUKU UTARA,2012,691
MALUKU UTARA,2013,862
MALUKU UTARA,2014,942
MALUKU UTARA,2015,927.9
MALUKU UTARA,2016,1073.92
MALUKU UTARA,2017,981.11
MALUKU UTARA,2018,1027.64
MALUKU UTARA,2019,1048.97
MALUKU UTARA,2020,1116.82
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,100
PAPUA BARAT,2006,447
PAPUA BARAT,2007,113
PAPUA BARAT,2008,531.75
PAPUA BARAT,2009,600.22
PAPUA BARAT,2010,680.3
PAPUA BARAT,2011,968
PAPUA BARAT,2012,1625
PAPUA BARAT,2013,1022
PAPUA BARAT,2014,1176
PAPUA BARAT,2015,1200.15
PAPUA BARAT,2016,1276.38
PAPUA BARAT,2017,1411.22
PAPUA BARAT,2018,1501.06
PAPUA BARAT,2019,1522.28
PAPUA BARAT,2020,1613.48
PAPUA,2000,979
PAPUA,2001,787
PAPUA,2002,1210
PAPUA,2003,1113
PAPUA,2004,1158
PAPUA,2005,1045
PAPUA,2006,1488
PAPUA,2007,1079
PAPUA,2008,993.87
PAPUA,2009,1181.47
PAPUA,2010,1341.27
PAPUA,2011,1229
PAPUA,2012,1254
PAPUA,2013,2094
PAPUA,2014,3254
PAPUA,2015,3546.2
PAPUA,2016,3852.87
PAPUA,2017,4026.4
PAPUA,2018,4087.13
PAPUA,2019,4567.64
PAPUA,2020,4900.56
