Provinsi,Tahun,Daging_Ayam_Petelur_Ton
KALIMANTAN TENGAH,2008,170
KALIMANTAN TENGAH,2009,21.85
KALIMANTAN TENGAH,2010,276
KALIMANTAN TENGAH,2011,11
KALIMANTAN TENGAH,2012,29
KALIMANTAN TENGAH,2013,41
KALIMANTAN TENGAH,2014,21
KALIMANTAN TENGAH,2015,34.58
KALIMANTAN TENGAH,2016,25.09
KALIMANTAN TENGAH,2017,36.98
KALIMANTAN TENGAH,2018,38.28
KALIMANTAN TENGAH,2019,48.66
KALIMANTAN TENGAH,2020,49.88
KALIMANTAN SELATAN,2000,261
KALIMANTAN SELATAN,2001,284
KALIMANTAN SELATAN,2002,221
KALIMANTAN SELATAN,2003,824
KALIMANTAN SELATAN,2004,305
KALIMANTAN SELATAN,2005,197
KALIMANTAN SELATAN,2006,722
KALIMANTAN SELATAN,2007,641
KALIMANTAN SELATAN,2008,1158
KALIMANTAN SELATAN,2009,1484.74
KALIMANTAN SELATAN,2010,1885.72
KALIMANTAN SELATAN,2011,1329
KALIMANTAN SELATAN,2012,2088
KALIMANTAN SELATAN,2013,1529
KALIMANTAN SELATAN,2014,3143
KALIMANTAN SELATAN,2015,2202.41
KALIMANTAN SELATAN,2016,2246.63
KALIMANTAN SELATAN,2017,2240.55
KALIMANTAN SELATAN,2018,2730.61
KALIMANTAN SELATAN,2019,1154.11
KALIMANTAN SELATAN,2020,1231.65
KALIMANTAN TIMUR,2000,395
KALIMANTAN TIMUR,2001,180
KALIMANTAN TIMUR,2002,212
KALIMANTAN TIMUR,2003,406
KALIMANTAN TIMUR,2004,265
KALIMANTAN TIMUR,2005,314
KALIMANTAN TIMUR,2006,331
KALIMANTAN TIMUR,2007,354
KALIMANTAN TIMUR,2008,426
KALIMANTAN TIMUR,2009,468.71
KALIMANTAN TIMUR,2010,1419.64
KALIMANTAN TIMUR,2011,1420
KALIMANTAN TIMUR,2012,716
KALIMANTAN TIMUR,2013,553
KALIMANTAN TIMUR,2014,310
KALIMANTAN TIMUR,2015,435.86
KALIMANTAN TIMUR,2016,379.82
KALIMANTAN TIMUR,2017,370.96
KALIMANTAN TIMUR,2018,476
KALIMANTAN TIMUR,2019,385.02
KALIMANTAN TIMUR,2020,404.27
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,20
KALIMANTAN UTARA,2015,22.08
KALIMANTAN UTARA,2016,12.02
KALIMANTAN UTARA,2017,17.18
KALIMANTAN UTARA,2018,18.67
KALIMANTAN UTARA,2019,21.59
KALIMANTAN UTARA,2020,23.13
SULAWESI UTARA,2000,381
SULAWESI UTARA,2001,323
SULAWESI UTARA,2002,368
SULAWESI UTARA,2003,302
SULAWESI UTARA,2004,471
SULAWESI UTARA,2005,386
SULAWESI UTARA,2006,378
SULAWESI UTARA,2007,437
SULAWESI UTARA,2008,497
SULAWESI UTARA,2009,510.95
SULAWESI UTARA,2010,530.85
SULAWESI UTARA,2011,547
SULAWESI UTARA,2012,696
SULAWESI UTARA,2013,837
SULAWESI UTARA,2014,852
SULAWESI UTARA,2015,1074.82
SULAWESI UTARA,2016,1123.3
SULAWESI UTARA,2017,1089.68
SULAWESI UTARA,2018,1162.1
SULAWESI UTARA,2019,1178.92
SULAWESI UTARA,2020,1209.94
