Provinsi,Tahun,Bawang_Putih_Ton
SULAWESI SELATAN,2018,3
SULAWESI SELATAN,2019,282
SULAWESI SELATAN,2020,307
SULAWESI TENGGARA,2000,2
SULAWESI TENGGARA,2001,0
SULAWESI TENGGARA,2002,0
SULAWESI TENGGARA,2003,0
SULAWESI TENGGARA,2004,0
SULAWESI TENGGARA,2005,5
SULAWESI TENGGARA,2006,0
SULAWESI TENGGARA,2007,0
SULAWESI TENGGARA,2008,0
SULAWESI TENGGARA,2009,5
SULAWESI TENGGARA,2010,0
SULAWESI TENGGARA,2011,0
SULAWESI TENGGARA,2012,0
SULAWESI TENGGARA,2013,0
SULAWESI TENGGARA,2014,0
SULAWESI TENGGARA,2015,0
SULAWESI TENGGARA,2016,0
SULAWESI TENGGARA,2017,1
SULAWESI TENGGARA,2018,
SULAWESI TENGGARA,2019,0
SULAWESI TENGGARA,2020,0
GORONTALO,2000,
GORONTALO,2001,0
GORONTALO,2002,0
GORONTALO,2003,0
GORONTALO,2004,0
GORONTALO,2005,0
GORONTALO,2006,0
GORONTALO,2007,0
GORONTALO,2008,0
GORONTALO,2009,0
GORONTALO,2010,0
GORONTALO,2011,0
GORONTALO,2012,0
GORONTALO,2013,0
GORONTALO,2014,0
GORONTALO,2015,0
GORONTALO,2016,0
GORONTALO,2017,0
GORONTALO,2018,
GORONTALO,2019,0
GORONTALO,2020,0
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,
SULAWESI BARAT,2006,160
SULAWESI BARAT,2007,0
SULAWESI BARAT,2008,0
SULAWESI BARAT,2009,0
SULAWESI BARAT,2010,1
SULAWESI BARAT,2011,0
SULAWESI BARAT,2012,0
SULAWESI BARAT,2013,0
SULAWESI BARAT,2014,0
SULAWESI BARAT,2015,0
SULAWESI BARAT,2016,0
SULAWESI BARAT,2017,0
SULAWESI BARAT,2018,16
SULAWESI BARAT,2019,0
SULAWESI BARAT,2020,886
MALUKU,2000,0
MALUKU,2001,0
MALUKU,2002,7
MALUKU,2003,0
MALUKU,2004,0
MALUKU,2005,
MALUKU,2006,0
MALUKU,2007,0
MALUKU,2008,0
MALUKU,2009,0
MALUKU,2010,0
MALUKU,2011,0
MALUKU,2012,0
MALUKU,2013,0
MALUKU,2014,0
MALUKU,2015,0
MALUKU,2016,0
MALUKU,2017,0
MALUKU,2018,
MALUKU,2019,0
MALUKU,2020,0
MALUKU UTARA,2000,
MALUKU UTARA,2001,0
MALUKU UTARA,2002,0
MALUKU UTARA,2003,0
MALUKU UTARA,2004,0
MALUKU UTARA,2005,0
MALUKU UTARA,2006,0
MALUKU UTARA,2007,0
MALUKU UTARA,2008,0
MALUKU UTARA,2009,0
MALUKU UTARA,2010,0
MALUKU UTARA,2011,0
MALUKU UTARA,2012,0
MALUKU UTARA,2013,1
MALUKU UTARA,2014,0
MALUKU UTARA,2015,0
MALUKU UTARA,2016,0
MALUKU UTARA,2017,71
MALUKU UTARA,2018,
MALUKU UTARA,2019,0
MALUKU UTARA,2020,0
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,190
PAPUA BARAT,2006,237
PAPUA BARAT,2007,
PAPUA BARAT,2008,285
PAPUA BARAT,2009,219
PAPUA BARAT,2010,175
PAPUA BARAT,2011,3
PAPUA BARAT,2012,35
PAPUA BARAT,2013,0
PAPUA BARAT,2014,0
PAPUA BARAT,2015,0
PAPUA BARAT,2016,0
PAPUA BARAT,2017,0
PAPUA BARAT,2018,
PAPUA BARAT,2019,0
PAPUA BARAT,2020,0
PAPUA,2000,2
PAPUA,2001,119
PAPUA,2002,340
PAPUA,2003,355
PAPUA,2004,
PAPUA,2005,644
PAPUA,2006,1062
PAPUA,2007,
PAPUA,2008,59
PAPUA,2009,71
PAPUA,2010,50
PAPUA,2011,49
PAPUA,2012,47
PAPUA,2013,27
PAPUA,2014,0
PAPUA,2015,0
PAPUA,2016,1
PAPUA,2017,0
PAPUA,2018,
PAPUA,2019,19
PAPUA,2020,0
