Provinsi,Tahun,Semangka_Ton,Salak_Ton,Nanas_Ton,Nangka_Ton,Mangga_Ton,JerukBesar_Ton,JambuAir_Ton,Pepaya_Ton,Rambutan_Ton,Alpukat_Ton,Durian_Ton,JambuBiji_Ton
JAWA BARAT,2014,22826,69299,149814,64610,321482,4418,13847,71768,98802,89351,57494,44473
JAWA TENGAH,2014,73002,441841,142074,93647,459669,12270,19617,105625,110180,33227,101168,40462
DI YOGYAKARTA,2014,11736,75751,600,26870,49667,420,2430,13606,23069,5632,7894,4005
JAWA TIMUR,2014,165410,66802,186949,101831,922727,23678,14918,248732,121606,54688,167887,26591
BANTEN,2014,371,1960,360,8635,49089,207,2678,8215,19066,1055,37934,3708
BALI,2014,22585,69271,525,55057,45258,547,591,8393,15801,2187,12994,1780
NUSA TENGGARA BARAT,2014,18429,25,4795,51163,118427,1495,1636,11216,10285,1172,9799,10907
NUSA TENGGARA TIMUR,2014,746,988,7100,20038,63872,5152,1306,56364,2499,11211,1233,5233
KALIMANTAN BARAT,2014,7570,812,86531,7302,5408,1049,1277,9582,15655,299,25255,1505
KALIMANTAN TENGAH,2014,3467,1091,9819,22325,5205,1271,1304,4668,21106,143,14302,2141
KALIMANTAN SELATAN,2014,45245,794,21024,20787,10298,1449,1751,5999,34938,48,15099,2406
KALIMANTAN TIMUR,2014,19927,7111,25637,17780,13072,611,1397,25089,31262,482,20802,1515
KALIMANTAN UTARA,2014,,0,0,0,0,0,0,0,0,0,0,0
SULAWESI UTARA,2014,340,3064,1734,1896,10192,169,180,4735,3133,1298,2320,362
SULAWESI TENGAH,2014,4791,949,1332,6595,16333,668,1142,4357,10681,2091,19278,688
SULAWESI SELATAN,2014,19714,9282,1452,26957,161829,56799,3135,43055,55622,12680,49594,11236
SULAWESI TENGGARA,2014,1266,800,2343,5744,14769,1674,1317,9605,20229,386,7653,1276
GORONTALO,2014,59,4,191,729,4135,146,52,468,582,26,1926,60
SULAWESI BARAT,2014,55,63,1026,2543,13707,393,105,1605,2402,278,9071,79
MALUKU,2014,332,605,454,4672,8687,376,427,7998,810,852,7319,282
MALUKU UTARA,2014,2416,58,119,1409,2654,247,195,780,592,435,4709,170
PAPUA BARAT,2014,402,162,51,244,268,46,73,411,342,128,1258,117
PAPUA,2014,4438,51,74,299,596,127,78,298,455,79,631,94
ACEH,2013,15017,175,495,7440,25898,11380,2175,10164,24121,6557,15785,1865
SUMATERA UTARA,2013,69685,244445,228136,14876,34549,7697,6990,27757,27800,8575,79993,15070
SUMATERA BARAT,2013,17153,2166,311,7622,7740,213,2067,15642,19555,40990,54958,2506
RIAU,2013,10340,830,96172,11464,6210,285,1523,19518,7604,590,7951,2357
JAMBI,2013,3750,751,156369,8742,2217,249,977,12680,8844,2012,12146,982
SUMATERA SELATAN,2013,9557,1376,57887,11754,9683,357,2090,8667,13239,6392,23736,2306
BENGKULU,2013,4881,1808,319,5006,4606,692,664,8665,4859,4223,11038,1065
LAMPUNG,2013,31621,4079,722620,25623,16587,634,2808,101795,32839,9723,27994,2623
KEP. BANGKA BELITUNG,2013,2627,746,15568,4935,3555,79,594,1604,1421,363,3197,397
KEP. RIAU,2013,2014,1159,1709,3671,1987,127,213,3192,4659,73,2284,268
DKI JAKARTA,2013,0,58,0,649,11297,105,1667,933,1386,134,232,1446
JAWA BARAT,2013,25018,95105,95015,54775,327070,3929,15541,66439,65449,81621,48821,47764
JAWA TENGAH,2013,55395,451663,113092,86520,404443,9610,17774,148898,71380,26831,69542,36718
DI YOGYAKARTA,2013,10153,106146,636,26714,36889,448,2232,12664,10519,6245,7364,4514
JAWA TIMUR,2013,133071,58778,197165,105389,799411,20792,13641,291789,89779,53593,180067,22149
BANTEN,2013,1835,2052,468,7545,57189,302,5551,10468,33547,1666,40823,3729
BALI,2013,21328,32194,463,33019,36643,433,666,7869,7397,2240,8342,1513
NUSA TENGGARA BARAT,2013,3514,17,43799,48097,110637,2886,1968,7637,7325,1178,6598,10037
NUSA TENGGARA TIMUR,2013,547,858,6788,22694,61493,4433,1170,52781,2425,9312,969,4468
KALIMANTAN BARAT,2013,3888,913,90570,7168,3760,1312,1442,9812,14539,140,24110,1391
KALIMANTAN TENGAH,2013,2136,1579,9734,18355,4986,895,806,3217,12079,91,12834,1293
KALIMANTAN SELATAN,2013,9620,931,10949,11572,5780,1385,1775,5664,12143,28,12591,2273
KALIMANTAN TIMUR,2013,13561,8334,26731,16915,10167,704,1083,21845,17765,478,14554,1356
KALIMANTAN UTARA,2013,,,,,,,,,,,,
SULAWESI UTARA,2013,431,63,1235,1417,6180,406,380,4468,3924,1572,4975,517
SULAWESI TENGAH,2013,1118,1120,1102,10215,17473,1000,1954,4871,16081,4457,15240,1206
SULAWESI SELATAN,2013,5296,11811,2009,22011,148117,33052,1624,30688,51623,18630,52393,9659
SULAWESI TENGGARA,2013,1887,526,1736,4663,16140,1316,992,8524,13492,505,6159,892
GORONTALO,2013,94,2,205,708,3548,111,38,425,529,24,961,49
SULAWESI BARAT,2013,92,69,825,2908,11006,429,147,1220,2334,521,5699,158
MALUKU,2013,418,341,453,2151,5216,505,333,8487,953,530,4626,294
MALUKU UTARA,2013,209,34,53,632,1269,143,103,362,705,126,1292,65
PAPUA BARAT,2013,1124,132,56,501,383,65,109,387,1046,158,1172,537
PAPUA,2013,3248,151,136,615,806,370,194,695,1099,323,612,177
ACEH,2012,23972,337,545,9401,39465,11627,3057,12535,30160,4231,37203,3371
SUMATERA UTARA,2012,79439,350010,262090,16444,35471,11897,7940,31658,26908,7954,102766,19861
SUMATERA BARAT,2012,16209,2758,278,8133,8665,230,2184,11623,11321,42600,45116,2132
RIAU,2012,8395,920,92445,11327,7337,291,1312,12966,9223,594,13250,2471
JAMBI,2012,6105,841,144896,12854,3898,2074,1192,29791,52249,2826,32768,1642
SUMATERA SELATAN,2012,6342,920,47341,10859,14294,603,1895,7064,15504,4198,28344,1797
BENGKULU,2012,8533,3683,482,7461,6309,641,986,9290,9610,6489,17487,1755
LAMPUNG,2012,30199,6264,585608,29395,21725,640,3976,103312,34934,10886,45396,2850
KEP. BANGKA BELITUNG,2012,3331,1173,24107,9987,3634,129,529,1355,5942,376,9956,488
KEP. RIAU,2012,1785,1072,1851,2903,3887,162,325,1671,7296,72,4744,167
DKI JAKARTA,2012,0,248,0,1990,15413,101,3528,1133,4193,304,937,2385
JAWA BARAT,2012,16272,40816,174451,90468,344205,3281,20396,75980,131942,89797,76599,65897
JAWA TENGAH,2012,76473,443840,69058,91762,422992,4506,19548,78292,82557,23119,79236,33977
DI YOGYAKARTA,2012,5076,40262,600,21799,41688,349,2277,11410,19474,7566,8528,4741
JAWA TIMUR,2012,136211,76356,196581,113260,840315,27709,13713,323371,104998,50101,158341,19642
BANTEN,2012,1649,1595,394,6240,52188,154,5065,11573,31907,1023,47466,4721
BALI,2012,12906,34060,546,33006,40372,405,880,7864,13219,1997,14134,1380
NUSA TENGGARA BARAT,2012,1568,13,11003,41915,137689,4148,3013,6953,4078,768,3587,10633
NUSA TENGGARA TIMUR,2012,653,804,7282,24550,71430,4115,884,53400,4131,10306,1172,5004
KALIMANTAN BARAT,2012,2691,1383,108704,11776,5674,1387,1796,9521,21437,233,25100,1752
KALIMANTAN TENGAH,2012,2604,1208,14252,18169,5379,669,994,3457,15882,128,10636,1629
KALIMANTAN SELATAN,2012,49829,898,7790,11193,6205,1404,1596,5662,19588,30,13291,2178
