Provinsi,Tahun,Kakao_Ton
MALUKU UTARA,2019,9300
MALUKU UTARA,2020,9300
PAPUA BARAT,2008,2700
PAPUA BARAT,2009,2900
PAPUA BARAT,2010,4700
PAPUA BARAT,2011,3500
PAPUA BARAT,2012,4650
PAPUA BARAT,2013,4280
PAPUA BARAT,2014,3700
PAPUA BARAT,2015,3300
PAPUA BARAT,2016,3600
PAPUA BARAT,2017,3300
PAPUA BARAT,2018,5200
PAPUA BARAT,2019,2700
PAPUA BARAT,2020,1900
PAPUA,2008,11300
PAPUA,2009,11000
PAPUA,2010,12900
PAPUA,2011,9500
PAPUA,2012,10310
PAPUA,2013,9770
PAPUA,2014,8900
PAPUA,2015,8600
PAPUA,2016,9300
PAPUA,2017,9600
PAPUA,2018,10800
PAPUA,2019,10400
PAPUA,2020,10400
