Provinsi,Tahun,Cabai_Merah_Ton
KALIMANTAN BARAT,2019,1613
KALIMANTAN BARAT,2020,2022
KALIMANTAN TENGAH,2000,
KALIMANTAN TENGAH,2001,
KALIMANTAN TENGAH,2002,
KALIMANTAN TENGAH,2003,749
KALIMANTAN TENGAH,2004,1196
KALIMANTAN TENGAH,2005,1090
KALIMANTAN TENGAH,2006,1155
KALIMANTAN TENGAH,2007,1365
KALIMANTAN TENGAH,2008,2983
KALIMANTAN TENGAH,2009,2321
KALIMANTAN TENGAH,2010,1087
KALIMANTAN TENGAH,2011,1123
KALIMANTAN TENGAH,2012,747
KALIMANTAN TENGAH,2013,1013
KALIMANTAN TENGAH,2014,944
KALIMANTAN TENGAH,2015,642
KALIMANTAN TENGAH,2016,614
KALIMANTAN TENGAH,2017,637
KALIMANTAN TENGAH,2018,1050
KALIMANTAN TENGAH,2019,1283
KALIMANTAN TENGAH,2020,1380
KALIMANTAN SELATAN,2000,
KALIMANTAN SELATAN,2001,
KALIMANTAN SELATAN,2002,
KALIMANTAN SELATAN,2003,3626
KALIMANTAN SELATAN,2004,2056
KALIMANTAN SELATAN,2005,3563
KALIMANTAN SELATAN,2006,3506
KALIMANTAN SELATAN,2007,3398
KALIMANTAN SELATAN,2008,4426
KALIMANTAN SELATAN,2009,4049
KALIMANTAN SELATAN,2010,5010
KALIMANTAN SELATAN,2011,6691
KALIMANTAN SELATAN,2012,5492
KALIMANTAN SELATAN,2013,5094
KALIMANTAN SELATAN,2014,7418
KALIMANTAN SELATAN,2015,5904
KALIMANTAN SELATAN,2016,8817
KALIMANTAN SELATAN,2017,10358
KALIMANTAN SELATAN,2018,11162
KALIMANTAN SELATAN,2019,11392
KALIMANTAN SELATAN,2020,12655
KALIMANTAN TIMUR,2000,
KALIMANTAN TIMUR,2001,
KALIMANTAN TIMUR,2002,
KALIMANTAN TIMUR,2003,2235
KALIMANTAN TIMUR,2004,6900
KALIMANTAN TIMUR,2005,4356
KALIMANTAN TIMUR,2006,5366
KALIMANTAN TIMUR,2007,5780
KALIMANTAN TIMUR,2008,6644
KALIMANTAN TIMUR,2009,7320
KALIMANTAN TIMUR,2010,6899
KALIMANTAN TIMUR,2011,5675
KALIMANTAN TIMUR,2012,5361
KALIMANTAN TIMUR,2013,6471
KALIMANTAN TIMUR,2014,8008
KALIMANTAN TIMUR,2015,5096
KALIMANTAN TIMUR,2016,3367
KALIMANTAN TIMUR,2017,3503
KALIMANTAN TIMUR,2018,4168
KALIMANTAN TIMUR,2019,4614
KALIMANTAN TIMUR,2020,4290
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,
KALIMANTAN UTARA,2015,1095
KALIMANTAN UTARA,2016,2080
KALIMANTAN UTARA,2017,1810
KALIMANTAN UTARA,2018,1841
KALIMANTAN UTARA,2019,2120
KALIMANTAN UTARA,2020,1778
SULAWESI UTARA,2000,
SULAWESI UTARA,2001,
SULAWESI UTARA,2002,
SULAWESI UTARA,2003,2201
SULAWESI UTARA,2004,4736
SULAWESI UTARA,2005,2547
SULAWESI UTARA,2006,2191
SULAWESI UTARA,2007,4183
SULAWESI UTARA,2008,2315
SULAWESI UTARA,2009,1508
SULAWESI UTARA,2010,1081
SULAWESI UTARA,2011,897
SULAWESI UTARA,2012,996
SULAWESI UTARA,2013,2826
SULAWESI UTARA,2014,5451
SULAWESI UTARA,2015,5748
SULAWESI UTARA,2016,3571
SULAWESI UTARA,2017,4877
SULAWESI UTARA,2018,6269
SULAWESI UTARA,2019,5537
SULAWESI UTARA,2020,8674
SULAWESI TENGAH,2000,
SULAWESI TENGAH,2001,
SULAWESI TENGAH,2002,
SULAWESI TENGAH,2003,1360
SULAWESI TENGAH,2004,1844
SULAWESI TENGAH,2005,1243
SULAWESI TENGAH,2006,2087
SULAWESI TENGAH,2007,1467
SULAWESI TENGAH,2008,1924
SULAWESI TENGAH,2009,2043
SULAWESI TENGAH,2010,3949
SULAWESI TENGAH,2011,5001
SULAWESI TENGAH,2012,3013
SULAWESI TENGAH,2013,3072
SULAWESI TENGAH,2014,5813
SULAWESI TENGAH,2015,5436
SULAWESI TENGAH,2016,4756
SULAWESI TENGAH,2017,6683
SULAWESI TENGAH,2018,7948
SULAWESI TENGAH,2019,5342
SULAWESI TENGAH,2020,7238
SULAWESI SELATAN,2000,
SULAWESI SELATAN,2001,
SULAWESI SELATAN,2002,
SULAWESI SELATAN,2003,28120
SULAWESI SELATAN,2004,28129
SULAWESI SELATAN,2005,30168
SULAWESI SELATAN,2006,28265
SULAWESI SELATAN,2007,11104
SULAWESI SELATAN,2008,10915
SULAWESI SELATAN,2009,11323
SULAWESI SELATAN,2010,10469
SULAWESI SELATAN,2011,21365
SULAWESI SELATAN,2012,22582
SULAWESI SELATAN,2013,27059
SULAWESI SELATAN,2014,28007
SULAWESI SELATAN,2015,23780
SULAWESI SELATAN,2016,27639
SULAWESI SELATAN,2017,32289
SULAWESI SELATAN,2018,26943
SULAWESI SELATAN,2019,21055
SULAWESI SELATAN,2020,17549
SULAWESI TENGGARA,2000,
SULAWESI TENGGARA,2001,
SULAWESI TENGGARA,2002,
SULAWESI TENGGARA,2003,920
SULAWESI TENGGARA,2004,982
SULAWESI TENGGARA,2005,820
SULAWESI TENGGARA,2006,1155
SULAWESI TENGGARA,2007,931
SULAWESI TENGGARA,2008,659
SULAWESI TENGGARA,2009,2165
SULAWESI TENGGARA,2010,2865
SULAWESI TENGGARA,2011,1916
SULAWESI TENGGARA,2012,4381
SULAWESI TENGGARA,2013,2846
SULAWESI TENGGARA,2014,3349
SULAWESI TENGGARA,2015,1798
SULAWESI TENGGARA,2016,2560
SULAWESI TENGGARA,2017,1206
SULAWESI TENGGARA,2018,1107
SULAWESI TENGGARA,2019,1408
SULAWESI TENGGARA,2020,1963
GORONTALO,2000,
GORONTALO,2001,
GORONTALO,2002,
GORONTALO,2003,1983
GORONTALO,2004,120
GORONTALO,2005,184
GORONTALO,2006,159
GORONTALO,2007,205
GORONTALO,2008,205
GORONTALO,2009,311
GORONTALO,2010,232
GORONTALO,2011,213
GORONTALO,2012,371
GORONTALO,2013,419
GORONTALO,2014,303
GORONTALO,2015,222
GORONTALO,2016,152
GORONTALO,2017,209
GORONTALO,2018,258
GORONTALO,2019,262
GORONTALO,2020,334
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,
SULAWESI BARAT,2006,2671
SULAWESI BARAT,2007,1645
SULAWESI BARAT,2008,610
SULAWESI BARAT,2009,917
SULAWESI BARAT,2010,1345
SULAWESI BARAT,2011,2499
SULAWESI BARAT,2012,1919
SULAWESI BARAT,2013,1352
SULAWESI BARAT,2014,1278
SULAWESI BARAT,2015,891
SULAWESI BARAT,2016,1192
SULAWESI BARAT,2017,1855
SULAWESI BARAT,2018,2268
SULAWESI BARAT,2019,2198
SULAWESI BARAT,2020,1282
MALUKU,2000,
MALUKU,2001,
MALUKU,2002,
MALUKU,2003,679
MALUKU,2004,115
MALUKU,2005,197
MALUKU,2006,433
MALUKU,2007,459
MALUKU,2008,287
