Provinsi,Tahun,Daging_Sapi_Ton
KALIMANTAN TENGAH,2014,3844
KALIMANTAN TENGAH,2015,4061.07
KALIMANTAN TENGAH,2016,4294.75
KALIMANTAN TENGAH,2017,4488.31
KALIMANTAN TENGAH,2018,3822.07
KALIMANTAN TENGAH,2019,3786.73
KALIMANTAN TENGAH,2020,3851.25
KALIMANTAN SELATAN,2000,3888
KALIMANTAN SELATAN,2001,3892
KALIMANTAN SELATAN,2002,3976
KALIMANTAN SELATAN,2003,4596
KALIMANTAN SELATAN,2004,5882
KALIMANTAN SELATAN,2005,5592.77
KALIMANTAN SELATAN,2006,6367.64
KALIMANTAN SELATAN,2007,5475
KALIMANTAN SELATAN,2008,5796
KALIMANTAN SELATAN,2009,5946
KALIMANTAN SELATAN,2010,7058
KALIMANTAN SELATAN,2011,8459
KALIMANTAN SELATAN,2012,9610
KALIMANTAN SELATAN,2013,9770
KALIMANTAN SELATAN,2014,8573
KALIMANTAN SELATAN,2015,7978.23
KALIMANTAN SELATAN,2016,7869.36
KALIMANTAN SELATAN,2017,7263.31
KALIMANTAN SELATAN,2018,7237.91
KALIMANTAN SELATAN,2019,6219.69
KALIMANTAN SELATAN,2020,6457.56
KALIMANTAN TIMUR,2000,6215
KALIMANTAN TIMUR,2001,8332
KALIMANTAN TIMUR,2002,7385
KALIMANTAN TIMUR,2003,8459
KALIMANTAN TIMUR,2004,6803
KALIMANTAN TIMUR,2005,6914.84
KALIMANTAN TIMUR,2006,7346.18
KALIMANTAN TIMUR,2007,6973
KALIMANTAN TIMUR,2008,7147
KALIMANTAN TIMUR,2009,6729
KALIMANTAN TIMUR,2010,7530
KALIMANTAN TIMUR,2011,8240
KALIMANTAN TIMUR,2012,8069
KALIMANTAN TIMUR,2013,9210
KALIMANTAN TIMUR,2014,8700
KALIMANTAN TIMUR,2015,9129.48
KALIMANTAN TIMUR,2016,8445.53
KALIMANTAN TIMUR,2017,8241.26
KALIMANTAN TIMUR,2018,7944.06
KALIMANTAN TIMUR,2019,7653.63
KALIMANTAN TIMUR,2020,7489.02
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,675
KALIMANTAN UTARA,2015,613.57
KALIMANTAN UTARA,2016,629.78
KALIMANTAN UTARA,2017,639.49
KALIMANTAN UTARA,2018,639.02
KALIMANTAN UTARA,2019,583.07
KALIMANTAN UTARA,2020,590.81
SULAWESI UTARA,2000,5185
SULAWESI UTARA,2001,2492
