Provinsi,Tahun,Daging_Ayam_Pedaging_Ton
NUSA TENGGARA TIMUR,2015,2386.97
NUSA TENGGARA TIMUR,2016,4297.5
NUSA TENGGARA TIMUR,2017,12961.13
NUSA TENGGARA TIMUR,2018,11903.81
NUSA TENGGARA TIMUR,2019,20806.62
NUSA TENGGARA TIMUR,2020,19498.34
KALIMANTAN BARAT,2000,13782
KALIMANTAN BARAT,2001,12215
KALIMANTAN BARAT,2002,13378
KALIMANTAN BARAT,2003,13405
KALIMANTAN BARAT,2004,20790
KALIMANTAN BARAT,2005,21286
KALIMANTAN BARAT,2006,21541
KALIMANTAN BARAT,2007,22138
KALIMANTAN BARAT,2008,26121
KALIMANTAN BARAT,2009,24061.75
KALIMANTAN BARAT,2010,26699.7
KALIMANTAN BARAT,2011,19284
KALIMANTAN BARAT,2012,41008
KALIMANTAN BARAT,2013,18595
KALIMANTAN BARAT,2014,31690
KALIMANTAN BARAT,2015,44436.45
KALIMANTAN BARAT,2016,40777.56
KALIMANTAN BARAT,2017,67747.27
KALIMANTAN BARAT,2018,62122.35
KALIMANTAN BARAT,2019,59066.12
KALIMANTAN BARAT,2020,55352.15
KALIMANTAN TENGAH,2000,1372
KALIMANTAN TENGAH,2001,1995
KALIMANTAN TENGAH,2002,1720
KALIMANTAN TENGAH,2003,3121
KALIMANTAN TENGAH,2004,2934
KALIMANTAN TENGAH,2005,3000
KALIMANTAN TENGAH,2006,4357
KALIMANTAN TENGAH,2007,5125
KALIMANTAN TENGAH,2008,5330
KALIMANTAN TENGAH,2009,7387.63
KALIMANTAN TENGAH,2010,5436
KALIMANTAN TENGAH,2011,4463
KALIMANTAN TENGAH,2012,15566
KALIMANTAN TENGAH,2013,7338
KALIMANTAN TENGAH,2014,10912
KALIMANTAN TENGAH,2015,11487.45
KALIMANTAN TENGAH,2016,12278.13
KALIMANTAN TENGAH,2017,28491.81
KALIMANTAN TENGAH,2018,27681.36
KALIMANTAN TENGAH,2019,24223.24
KALIMANTAN TENGAH,2020,22700.13
KALIMANTAN SELATAN,2000,4375
KALIMANTAN SELATAN,2001,5600
KALIMANTAN SELATAN,2002,12957
KALIMANTAN SELATAN,2003,14128
KALIMANTAN SELATAN,2004,18699
KALIMANTAN SELATAN,2005,20349
KALIMANTAN SELATAN,2006,18705
KALIMANTAN SELATAN,2007,26690
KALIMANTAN SELATAN,2008,34562
KALIMANTAN SELATAN,2009,34230.22
KALIMANTAN SELATAN,2010,34670.12
KALIMANTAN SELATAN,2011,39319
KALIMANTAN SELATAN,2012,36177
KALIMANTAN SELATAN,2013,55032
KALIMANTAN SELATAN,2014,46511
KALIMANTAN SELATAN,2015,60952.23
KALIMANTAN SELATAN,2016,72552.56
KALIMANTAN SELATAN,2017,89863.2
KALIMANTAN SELATAN,2018,90581.13
KALIMANTAN SELATAN,2019,86120.96
KALIMANTAN SELATAN,2020,80705.84
KALIMANTAN TIMUR,2000,10687
KALIMANTAN TIMUR,2001,13321
KALIMANTAN TIMUR,2002,15407
KALIMANTAN TIMUR,2003,16245
KALIMANTAN TIMUR,2004,16507
KALIMANTAN TIMUR,2005,19294
KALIMANTAN TIMUR,2006,20945
KALIMANTAN TIMUR,2007,18337
KALIMANTAN TIMUR,2008,20620
KALIMANTAN TIMUR,2009,30220.05
KALIMANTAN TIMUR,2010,32169.28
KALIMANTAN TIMUR,2011,27943
KALIMANTAN TIMUR,2012,30212
KALIMANTAN TIMUR,2013,35772
KALIMANTAN TIMUR,2014,43641
KALIMANTAN TIMUR,2015,53859.8
KALIMANTAN TIMUR,2016,56531.58
KALIMANTAN TIMUR,2017,66732.95
KALIMANTAN TIMUR,2018,72515.81
KALIMANTAN TIMUR,2019,46755.78
KALIMANTAN TIMUR,2020,43815.86
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,3393
KALIMANTAN UTARA,2015,6623.44
KALIMANTAN UTARA,2016,4249.46
KALIMANTAN UTARA,2017,105.82
